##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	patagonia1_E1_L1_P1.truncated.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	146508
Sequences flagged as poor quality	0
Sequence length	30-101
%GC	40
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.997167390176646	33.0	31.0	34.0	30.0	34.0
2	32.245119720424825	34.0	31.0	34.0	30.0	34.0
3	32.35086821197477	34.0	31.0	34.0	30.0	34.0
4	35.90949299696945	37.0	35.0	37.0	35.0	37.0
5	35.85148933846616	37.0	35.0	37.0	35.0	37.0
6	35.86200753542469	37.0	35.0	37.0	35.0	37.0
7	35.821914161684006	37.0	35.0	37.0	35.0	37.0
8	35.786892183362	37.0	35.0	37.0	33.0	37.0
9	37.47480683648674	39.0	37.0	39.0	34.0	39.0
10-11	37.47845851421083	39.0	37.0	39.0	34.0	39.0
12-13	37.46964670871215	39.0	37.0	39.0	34.0	39.0
14-15	38.77901548038332	40.0	38.0	41.0	34.0	41.0
16-17	38.70391719223524	40.0	38.0	41.0	34.0	41.0
18-19	38.58590657165479	40.0	38.0	41.0	34.0	41.0
20-21	38.56148469708138	40.0	38.0	41.0	34.0	41.0
22-23	38.50069620771562	40.0	38.0	41.0	34.0	41.0
24-25	38.40782414612171	40.0	38.0	41.0	33.5	41.0
26-27	38.19291096731919	40.0	38.0	41.0	33.0	41.0
28-29	38.08390668086385	40.0	38.0	41.0	33.0	41.0
30-31	38.08779049853624	40.0	38.0	41.0	33.0	41.0
32-33	38.05934427015795	40.0	38.0	41.0	33.0	41.0
34-35	37.97890020424251	40.0	38.0	41.0	33.0	41.0
36-37	37.893798051462525	40.0	37.5	41.0	32.5	41.0
38-39	37.84676309086551	40.0	37.0	41.0	32.0	41.0
40-41	37.8023607638862	40.0	37.0	41.0	32.0	41.0
42-43	37.7240017724388	40.0	37.0	41.0	32.0	41.0
44-45	37.6652611278365	40.0	37.0	41.0	31.5	41.0
46-47	37.641566529366834	40.0	37.0	41.0	31.5	41.0
48-49	37.70255744969091	40.0	37.0	41.0	32.0	41.0
50-51	37.658629652773584	40.0	37.0	41.0	32.0	41.0
52-53	37.60706183957177	40.0	37.0	41.0	31.5	41.0
54-55	37.49615020873478	40.0	36.5	41.0	31.0	41.0
56-57	37.36136487718086	40.0	36.0	41.0	31.0	41.0
58-59	37.19356353062879	39.0	36.0	41.0	31.0	41.0
60-61	36.980328761089396	39.0	35.0	41.0	31.0	41.0
62-63	36.79375814532775	39.0	35.0	41.0	31.0	41.0
64-65	36.599000218234664	38.5	35.0	40.5	31.0	41.0
66-67	36.35228130909396	38.0	35.0	40.0	30.0	41.0
68-69	36.04892417794942	37.0	35.0	40.0	30.0	41.0
70-71	35.70674531997302	37.0	34.5	39.5	29.5	41.0
72-73	35.374886598517094	36.0	34.0	39.0	29.0	41.0
74-75	35.03192190312963	36.0	34.0	39.0	29.0	40.5
76-77	33.947431180486376	35.0	32.5	37.0	27.5	39.0
78-79	34.402443677121425	35.0	34.0	37.0	29.0	39.0
80-81	34.32144705048792	35.0	34.0	37.0	29.0	39.0
82-83	34.05733542453042	35.0	34.0	36.5	29.0	39.0
84-85	33.849269561969436	35.0	34.0	36.0	29.0	37.5
86-87	33.54647955178399	35.0	34.0	36.0	29.0	37.0
88-89	33.344695654962266	35.0	33.5	35.5	29.0	37.0
90-91	33.154277651562225	35.0	33.0	35.0	29.0	36.5
92-93	33.087039536111746	35.0	33.0	35.0	29.0	36.0
94-95	32.95427073758215	35.0	33.0	35.0	29.0	36.0
96-97	32.78079391280092	35.0	33.0	35.0	27.0	36.0
98-99	32.68883160919936	35.0	33.0	35.0	27.0	36.0
100-101	31.17104867147317	34.0	31.0	34.5	23.0	35.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.6147891495147775
1101	2	0.7423153127636581
1101	3	0.5475655258982073
1101	4	0.560202867558921
1101	5	0.5329174924114923
1101	6	0.4507816894637955
1101	7	0.45311093665223723
1101	8	0.23178863230511837
1101	9	0.5244131711369917
1101	10-11	0.738703717742176
1101	12-13	0.6868425989900828
1101	14-15	0.8141501987251303
1101	16-17	1.052292883204906
1101	18-19	0.9456685152701425
1101	20-21	1.1478330771763083
1101	22-23	0.6960010939594881
1101	24-25	1.0457170830798788
1101	26-27	1.0197521776341247
1101	28-29	1.1262511905184809
1101	30-31	1.2685822499834458
1101	32-33	1.0073706746490743
1101	34-35	1.2881593475799562
1101	36-37	1.1524714790305879
1101	38-39	1.1985363993742055
1101	40-41	1.3504017273348978
1101	42-43	1.177189061130541
1101	44-45	1.298261948168829
1101	46-47	1.2841545735211213
1101	48-49	0.3843048925169583
1101	50-51	0.7261851971810742
1101	52-53	1.0711443805333403
1101	54-55	1.4954786147458066
1101	56-57	1.9945687097048364
1101	58-59	2.1579818131383917
1101	60-61	1.938334159889223
1101	62-63	1.6960576754952967
1101	64-65	2.2818319618261
1101	66-67	2.0351893271190775
1101	68-69	0.298865409213235
1101	70-71	-0.32862254100249544
1101	72-73	0.5629630218441761
1101	74-75	0.0356594784543347
1101	76-77	-0.7246341638690126
1101	78-79	0.29738972190166635
1101	80-81	-0.18355233058814235
1101	82-83	1.6287746058460542
1101	84-85	0.8696861455356881
1101	86-87	1.4211593721714806
1101	88-89	2.1285532346909974
1101	90-91	1.53362612533666
1101	92-93	0.2309376734376798
1101	94-95	0.8893522121153765
1101	96-97	1.3449988899988838
1101	98-99	-0.34666497245444816
1101	100-101	-1.4508785220627232
1102	1	0.19970978443541298
1102	2	-0.034668814220474076
1102	3	-0.016720188387509438
1102	4	0.2268695342255853
1102	5	0.30513971463371803
1102	6	0.37300391168601976
1102	7	0.026126809668113538
1102	8	-0.19995739944091184
1102	9	0.22282586954968764
1102	10-11	0.5017989558374225
1102	12-13	0.12096958311706629
1102	14-15	0.25542003999497354
1102	16-17	0.6630071689191865
1102	18-19	0.5456685152701439
1102	20-21	0.827594981938212
1102	22-23	0.4912391891975858
1102	24-25	0.8377805751433698
1102	26-27	0.8300696379515813
1102	28-29	0.7992670635343515
1102	30-31	0.5256894692075562
1102	32-33	0.9267256818335383
1102	34-35	1.3147218852837952
1102	36-37	0.5422378001798975
1102	38-39	0.4360211368589404
1102	40-41	0.9323504503140398
1102	42-43	0.32319526071614035
1102	44-45	0.6835858168467368
1102	46-47	0.21690288700941096
1102	48-49	1.0266433997548532
1102	50-51	0.5693280224930177
1102	52-53	0.5949863591167031
1102	54-55	1.0782350250022148
1102	56-57	1.1034455212990366
1102	58-59	0.7936115660450298
1102	60-61	1.2633341598892116
1102	62-63	1.3703610810680544
1102	64-65	1.1942861742803146
1102	66-67	0.8845483014780555
1102	68-69	1.4162896516374772
1102	70-71	0.9380441256641774
1102	72-73	1.194781203662366
1102	74-75	2.260659478454336
1102	76-77	2.726754725019873
1102	78-79	1.6098897219016663
1102	80-81	1.5485905265547188
1102	82-83	2.849012701084149
1102	84-85	1.9738528122023524
1102	86-87	1.9836593721714806
1102	88-89	2.0809341870719535
1102	90-91	1.8193404110509448
1102	92-93	1.6476043401043512
1102	94-95	0.8393522121153794
1102	96-97	2.344998889998884
1102	98-99	2.403335027545552
1102	100-101	3.3824548112706125
1103	1	0.2177195524451747
1103	2	0.47235194280028736
1103	3	0.26075233908502327
1103	4	0.021741329097380913
1103	5	0.3594742689682704
1103	6	0.18283297151508293
1103	7	0.31977760331890437
1103	8	0.4581622586787404
1103	9	0.5244131711369917
1103	10-11	0.4047293587678169
1103	12-13	0.5741136612611442
1103	14-15	0.744736279311212
1103	16-17	0.28938079529281424
1103	18-19	0.4023534969551221
1103	20-21	0.271734176077409
1103	22-23	0.4871183100767027
1103	24-25	0.4643068266696204
