##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	patagonia1_E1_L1_P1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	156508
Sequences flagged as poor quality	0
Sequence length	101
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.937261992997165	33.0	31.0	34.0	30.0	34.0
2	32.20243054668132	34.0	31.0	34.0	30.0	34.0
3	32.31574743783065	34.0	31.0	34.0	30.0	34.0
4	35.894612415978735	37.0	35.0	37.0	35.0	37.0
5	35.834570756766425	37.0	35.0	37.0	35.0	37.0
6	35.846027040151306	37.0	35.0	37.0	35.0	37.0
7	35.80689804993994	37.0	35.0	37.0	35.0	37.0
8	35.76516216423442	37.0	35.0	37.0	33.0	37.0
9	37.45221330539014	39.0	37.0	39.0	34.0	39.0
10-11	37.45719068673806	39.0	37.0	39.0	34.0	39.0
12-13	37.44299332941447	39.0	37.0	39.0	34.0	39.0
14-15	38.74946648094666	40.0	38.0	41.0	34.0	41.0
16-17	38.67216052853529	40.0	38.0	41.0	34.0	41.0
18-19	38.55377041429192	40.0	38.0	41.0	34.0	41.0
20-21	38.526771794413065	40.0	38.0	41.0	34.0	41.0
22-23	38.46093809901092	40.0	38.0	41.0	34.0	41.0
24-25	38.359611010299794	40.0	38.0	41.0	33.5	41.0
26-27	38.13386536151506	40.0	38.0	41.0	33.0	41.0
28-29	38.01308559306872	40.0	38.0	41.0	33.0	41.0
30-31	38.00347266593401	40.0	38.0	41.0	33.0	41.0
32-33	37.94184322846117	40.0	38.0	41.0	32.0	41.0
34-35	37.814146880670634	40.0	37.0	41.0	32.0	41.0
36-37	37.67075165486749	40.0	37.0	41.0	31.0	41.0
38-39	37.55908004702635	40.0	37.0	41.0	31.0	41.0
40-41	37.4165985125361	40.0	37.0	41.0	31.0	41.0
42-43	37.25165486748281	40.0	37.0	41.0	30.0	41.0
44-45	37.07337324609605	40.0	36.5	41.0	30.0	41.0
46-47	36.99311217317965	40.0	36.0	41.0	30.0	41.0
48-49	37.04008101822271	40.0	36.0	41.0	30.0	41.0
50-51	36.976186520816825	40.0	36.0	41.0	30.0	41.0
52-53	36.8670738875968	40.0	36.0	41.0	30.0	41.0
54-55	36.67607726122626	39.5	36.0	41.0	29.0	41.0
56-57	36.46074322079383	39.0	35.0	41.0	28.0	41.0
58-59	36.280583101183325	39.0	35.0	41.0	28.0	41.0
60-61	36.05405474480538	39.0	35.0	41.0	28.0	41.0
62-63	35.82237329721164	38.0	35.0	40.0	28.0	41.0
64-65	35.53452539167327	37.5	34.5	40.0	28.0	41.0
66-67	35.1757609834641	37.0	34.0	39.0	28.0	41.0
68-69	34.80223055690443	36.5	34.0	39.0	28.0	40.5
70-71	34.398184118383725	36.0	34.0	39.0	27.5	39.5
72-73	33.963049812150174	35.5	34.0	37.0	26.5	39.0
74-75	33.548681217573545	35.0	33.0	37.0	26.0	39.0
76-77	32.463947529838734	34.5	31.5	36.0	26.0	37.0
78-79	32.794160681882076	35.0	33.0	36.0	26.0	37.0
80-81	32.677492524343805	35.0	33.0	35.5	26.0	36.5
82-83	32.48197855700667	35.0	33.0	35.0	26.0	36.0
84-85	32.2722832059703	35.0	33.0	35.0	26.0	35.5
86-87	32.12141232397066	35.0	32.0	35.0	26.0	35.0
88-89	32.011893960692106	35.0	32.0	35.0	25.0	35.0
90-91	31.882676923863315	35.0	32.0	35.0	25.0	35.0
92-93	31.82753916732691	35.0	32.0	35.0	25.0	35.0
94-95	31.75609234032765	35.0	32.0	35.0	25.0	35.0
96-97	31.62207363201881	34.5	32.0	35.0	24.0	35.0
98-99	31.43096199555294	34.0	32.0	35.0	23.5	35.0
100-101	30.606611163646583	33.5	30.0	35.0	21.0	35.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.6062811737615306
1101	2	0.6887499421196708
1101	3	0.5151003795536226
1101	4	0.5897353408272537
1101	5	0.5660584348891362
1101	6	0.4785789103125424
1101	7	0.4634327014909658
1101	8	0.2305015219112576
1101	9	0.586472900864031
1101	10-11	0.7381623136690507
1101	12-13	0.7108146206635411
1101	14-15	0.788798607554142
1101	16-17	1.064165763578245
1101	18-19	0.9824168703983673
1101	20-21	1.1274450607063145
1101	22-23	0.7150182420613049
1101	24-25	1.1177226049074775
1101	26-27	1.1152784795276816
1101	28-29	1.2467178338546105
1101	30-31	1.3118981378062102
1101	32-33	1.2246531401012177
1101	34-35	1.5778583581780268
1101	36-37	1.5544044192909183
1101	38-39	1.6532719627874286
1101	40-41	1.7748341935892995
1101	42-43	1.821165465492804
1101	44-45	1.6082828425407953
1101	46-47	1.70227165825996
1101	48-49	1.6469749477772737
1101	50-51	1.710182745668547
1101	52-53	2.0504384269372125
1101	54-55	1.9832590173295799
1101	56-57	2.308413099805435
1101	58-59	2.28767865518968
1101	60-61	2.401177823215086
1101	62-63	2.244352699984681
1101	64-65	2.2043254146048312
1101	66-67	2.0452948644173574
1101	68-69	2.023650777846264
1101	70-71	1.9829098426888692
1101	72-73	1.9599107637580744
1101	74-75	1.748190478631301
1101	76-77	1.5600698681512242
1101	78-79	1.5857706375096967
1101	80-81	1.9137199847087842
1101	82-83	1.6412433650750131
1101	84-85	1.5773017371594449
1101	86-87	1.5366206004078578
1101	88-89	1.4685857084868807
1101	90-91	1.50343675076709
1101	92-93	1.4169093376683826
1101	94-95	1.3601787622719392
1101	96-97	0.9570094010423063
1101	98-99	0.770116986907329
1101	100-101	1.042887236310733
1102	1	0.1661013506842366
1102	2	-0.021454534121446045
1102	3	0.011160707295687189
1102	4	0.2038891572336894
1102	5	0.31469284297150324
1102	6	0.42347183823829226
1102	7	0.06985219199224701
1102	8	-0.12580920463198453
1102	9	0.2700422922692596
1102	10-11	0.5551004874013472
1102	12-13	0.17866882862023203
1102	14-15	0.2978622707242522
1102	16-17	0.7146467419704692
1102	18-19	0.6106374920448161
1102	20-21	0.8517888514927989
1102	22-23	0.4804506392189438
1102	24-25	0.9394947323304947
1102	26-27	0.9193825062111074
1102	28-29	0.7864287634239062
1102	30-31	0.3629688585486974
1102	32-33	0.9193164552266566
1102	34-35	1.3652852446284527
1102	36-37	0.894183024211884
1102	38-39	0.9737872622508661
1102	40-41	1.3174938349099392
1102	42-43	0.8543505575796217
1102	44-45	1.3197683165099576
1102	46-47	1.3634115045402382
1102	48-49	1.9543660629703865
1102	50-51	1.9197104683929638
1102	52-53	1.8631952307270296
1102	54-55	2.021519760791655
1102	56-57	2.0810722577307104
1102	58-59	2.0579450060380395
1102	60-61	1.965421067764801
1102	62-63	2.1621513174739206
1102	64-65	1.8829641732455258
1102	66-67	1.5184664214338426
1102	68-69	1.6799325006673556
1102	70-71	1.6052088710641712
1102	72-73	1.426363125144448
1102	74-75	1.4731385136291237
1102	76-77	1.2582136299339908
1102	78-79	1.2617990611573973
1102	80-81	0.8535614310277211
1102	82-83	1.3337314010396284
1102	84-85	1.423509500489068
1102	86-87	1.2712848823240392
1102	88-89	1.5803467178164077
1102	90-91	1.5248269958485388
1102	92-93	1.5833907027769065
1102	94-95	1.2091902187421901
1102	96-97	0.8623122482410324
1102	98-99	0.9242234305675971
1102	100-101	1.2417319213786477
1103	1	0.03349091230611023
1103	2	0.31903742824300707
1103	3	0.22148938541053553
1103	4	0.10870330009686313
1103	5	0.3594588865983539
1103	6	0.18381950289379745
1103	7	0.276088215788711
1103	8	0.3906668934229529
1103	9	0.44762973583704735
1103	10-11	0.4255067993712984
1103	12-13	0.5976384923474996
1103	14-15	0.7589398623870522
1103	16-17	0.38681247337421354
1103	18-19	0.44383018433627797
1103	20-21	0.36560683385641113
1103	22-23	0.505681642130213
1103	24-25	0.4972349120697501
